Education_Level,Years_of_Experience,Job_Title,Location,Industry,Salary
Bachelor's,1.162457569401917,Data Scientist,Seattle,Education,97771
High School,4.946972249101567,Software Engineer,New York,Healthcare,51769
PhD,5.120460419882053,Web Developer,New York,Education,83678
High School,9.926484224970572,Data Scientist,Austin,Finance,60779
High School,4.615278070437755,Web Developer,New York,Healthcare,71963
Master's,5.603094684667225,Web Developer,Seattle,Finance,85947
Master's,4.9305764605895135,Software Engineer,San Francisco,Healthcare,67791
Master's,2.662643924760936,Data Scientist,New York,Tech,77308
Bachelor's,7.285645629030041,ML Engineer,Austin,Tech,105125
PhD,6.503866065373549,Software Engineer,Seattle,Tech,73462
PhD,6.582063894086094,Data Scientist,New York,Education,101713
PhD,3.181225090410522,Data Scientist,Seattle,Finance,62405
PhD,7.805588621872198,Data Scientist,Austin,Education,95596
Master's,2.1962978744154382,Data Scientist,Austin,Tech,113831
Bachelor's,6.173714187600541,Data Scientist,Seattle,Finance,35567
Bachelor's,9.380911251619956,Web Developer,New York,Tech,69062
Master's,3.0189273497386235,Software Engineer,San Francisco,Education,96541
Bachelor's,3.867404540794456,Web Developer,Austin,Education,80939
Master's,5.199302730175282,ML Engineer,New York,Education,92422
PhD,3.9930486917676014,Data Scientist,New York,Tech,72920
Master's,1.8986731378677346,Software Engineer,San Francisco,Finance,86731
PhD,5.137125949612055,Data Scientist,Austin,Finance,81886
PhD,2.8753925725477902,Software Engineer,Austin,Tech,108355
High School,5.9471848612703635,Web Developer,New York,Finance,90088
Master's,3.1611515315323935,Software Engineer,New York,Tech,91752
High School,8.09986881003508,ML Engineer,San Francisco,Finance,76762
Master's,3.4334934153275256,ML Engineer,San Francisco,Healthcare,75247
Master's,4.355876967588649,Software Engineer,Austin,Healthcare,76348
High School,6.62703443473934,Software Engineer,Seattle,Education,92889
High School,2.5382713671320896,Software Engineer,Austin,Healthcare,76580
Master's,5.4549198692082586,Software Engineer,New York,Healthcare,90795
Bachelor's,7.614285508564857,ML Engineer,Austin,Healthcare,126508
PhD,1.785033530877545,Data Scientist,Seattle,Tech,102422
High School,5.369267717064608,Software Engineer,San Francisco,Healthcare,78479
PhD,5.519765588496847,Software Engineer,Seattle,Healthcare,109024
Bachelor's,6.563645743554621,ML Engineer,Seattle,Education,76838
Bachelor's,2.526098578243836,ML Engineer,Seattle,Healthcare,44237
Bachelor's,2.3590867738314474,Web Developer,San Francisco,Healthcare,64838
High School,6.0438831312337955,Software Engineer,Seattle,Finance,47584
Bachelor's,5.5939693464663724,Web Developer,Seattle,Education,77969
High School,5.5009857006917535,ML Engineer,Seattle,Education,85368
Bachelor's,5.692896418993952,ML Engineer,New York,Education,118528
PhD,3.6399505568430186,Data Scientist,Seattle,Education,91538
PhD,5.464507394322007,Software Engineer,San Francisco,Education,80617
Master's,5.586144946597362,Web Developer,Seattle,Education,101588
PhD,3.571297163947264,ML Engineer,Seattle,Tech,40777
Master's,8.731549022289514,ML Engineer,San Francisco,Healthcare,89712
PhD,5.947665841823575,Web Developer,Seattle,Education,100417
High School,2.617393005594703,Data Scientist,San Francisco,Healthcare,55428
PhD,6.313107217267659,ML Engineer,Seattle,Healthcare,107875
Master's,3.050636659545357,Software Engineer,San Francisco,Tech,91769
Master's,6.574169207484904,ML Engineer,Seattle,Education,76694
Bachelor's,7.317191158014808,Software Engineer,Seattle,Finance,97655
High School,3.358635363296579,Web Developer,New York,Tech,130413
PhD,6.926752258488643,Software Engineer,New York,Finance,88637
Bachelor's,5.825561853872997,Web Developer,Seattle,Healthcare,89964
PhD,6.64412031998898,Software Engineer,Seattle,Healthcare,75812
PhD,8.793585965307894,Web Developer,Austin,Tech,68003
Bachelor's,4.509223767994259,Software Engineer,San Francisco,Tech,101606
Bachelor's,3.492527671285021,Data Scientist,Austin,Finance,67878
Bachelor's,3.2209711407489534,Software Engineer,New York,Education,86431
Bachelor's,3.3683794300691234,Software Engineer,New York,Finance,75446
Bachelor's,4.845796581171792,Data Scientist,New York,Tech,94579
PhD,5.682303949633288,ML Engineer,New York,Finance,91673
Bachelor's,5.553381598660038,ML Engineer,Seattle,Tech,105750
High School,6.654366498072047,Software Engineer,New York,Finance,74799
Master's,5.026003783755814,Data Scientist,Seattle,Tech,79602
Bachelor's,7.907068154314634,Software Engineer,Seattle,Tech,65424
Bachelor's,4.470686333524088,Web Developer,New York,Tech,76114
PhD,10.440338333179238,Web Developer,New York,Education,92546
Bachelor's,6.251334695530012,Software Engineer,San Francisco,Finance,100139
Bachelor's,3.285684887167435,ML Engineer,Austin,Finance,66556
Bachelor's,2.8582150038777754,ML Engineer,New York,Finance,102392
PhD,5.96494483048637,Software Engineer,San Francisco,Tech,112112
Bachelor's,4.553074429348298,Software Engineer,San Francisco,Finance,93268
Master's,6.428000988184184,Web Developer,Austin,Finance,122535
PhD,5.94647524914709,ML Engineer,Seattle,Tech,69524
Master's,4.854342174686255,Software Engineer,New York,Healthcare,60106
PhD,3.30641256386319,Web Developer,Austin,Tech,49425
Bachelor's,1.9703055506282707,ML Engineer,New York,Finance,114920
Master's,4.106970095865957,Data Scientist,San Francisco,Tech,98087
PhD,6.712797588646945,Web Developer,San Francisco,Healthcare,83888
High School,5.4281874882604075,ML Engineer,Seattle,Tech,90599
Bachelor's,2.508522442576024,ML Engineer,San Francisco,Finance,62490
PhD,5.346361851702364,Web Developer,San Francisco,Healthcare,133915
High School,5.770634759457674,Data Scientist,Austin,Education,87584
PhD,3.2322851275977342,Web Developer,New York,Finance,87187
High School,5.307450211891056,ML Engineer,New York,Healthcare,99515
Bachelor's,5.116417436892,Software Engineer,Austin,Healthcare,94620
Master's,2.714059404338754,Software Engineer,Seattle,Education,89477
High School,5.715574720696567,Web Developer,New York,Tech,69190
PhD,6.121569052736469,ML Engineer,San Francisco,Tech,94429
Bachelor's,7.166102486350554,Software Engineer,New York,Finance,122640
High School,7.1076041040698055,ML Engineer,San Francisco,Education,111908
PhD,2.244661264085818,Web Developer,Seattle,Tech,116863
PhD,3.124349920169754,Software Engineer,Austin,Education,74775
PhD,6.0300705344173195,ML Engineer,New York,Tech,65207
High School,6.027571901824418,Software Engineer,Austin,Healthcare,82484
High School,6.030095372612096,Web Developer,New York,Tech,86114
High School,12.705462981309442,ML Engineer,San Francisco,Education,106883
Master's,6.141781021386334,Software Engineer,Austin,Healthcare,51150
High School,7.271131280361198,Web Developer,New York,Healthcare,115591
High School,6.908003526986405,Software Engineer,San Francisco,Healthcare,81839
High School,6.302782502611596,Software Engineer,Austin,Education,76462
Master's,4.369461510719309,Data Scientist,Austin,Finance,64757
High School,6.517938440986535,Data Scientist,New York,Finance,51902
PhD,3.4543495709248564,Web Developer,New York,Finance,101463
High School,4.526362786519982,Data Scientist,New York,Education,86466
PhD,4.029272904341793,Web Developer,San Francisco,Healthcare,59200
PhD,5.163748278772645,Data Scientist,New York,Finance,59098
PhD,9.629317133347017,Software Engineer,Austin,Education,78284
Master's,1.2654696148165039,Web Developer,Austin,Finance,118380
Master's,6.372520380749027,Web Developer,New York,Tech,79808
Master's,1.7745682576206967,Software Engineer,New York,Finance,54937
High School,4.056136268421133,Web Developer,Seattle,Finance,80085
PhD,7.177901193934732,Web Developer,Austin,Healthcare,79545
Master's,5.128560038190925,Data Scientist,San Francisco,Education,31062
Master's,2.8445104441413878,Web Developer,Seattle,Healthcare,83914
High School,3.5693925814800638,ML Engineer,New York,Healthcare,80381
Master's,6.359195497869352,Software Engineer,New York,Healthcare,98924
High School,3.5392667365657267,Data Scientist,Austin,Healthcare,121979
Bachelor's,5.43291717916395,Data Scientist,New York,Healthcare,107531
Master's,5.091143679807628,ML Engineer,San Francisco,Finance,79622
Bachelor's,3.6967993047883656,Software Engineer,Austin,Healthcare,62869
High School,9.28788817865065,Software Engineer,New York,Healthcare,136467
PhD,6.267838044636022,Data Scientist,Austin,Education,86184
Master's,0.9497148266847857,Web Developer,New York,Tech,85278
High School,5.3729086295388555,Data Scientist,New York,Finance,84517
PhD,3.676427070463224,Software Engineer,New York,Finance,88961
PhD,6.704866669592448,ML Engineer,San Francisco,Finance,82112
Bachelor's,3.4149585231345987,Data Scientist,San Francisco,Healthcare,73526
High School,4.770527117066202,Software Engineer,Austin,Healthcare,74062
PhD,6.0099745579609145,Data Scientist,New York,Healthcare,84344
Master's,6.731510388340243,Web Developer,New York,Education,74131
Master's,2.5994071858884475,Data Scientist,San Francisco,Tech,70743
Bachelor's,4.330997528318103,Data Scientist,New York,Healthcare,87128
PhD,4.050109377678088,Software Engineer,San Francisco,Tech,79900
High School,3.693341534852576,Software Engineer,New York,Education,115079
Master's,8.530908480562193,Software Engineer,Austin,Finance,31980
PhD,5.809963421921911,Data Scientist,New York,Healthcare,106830
PhD,2.4782320913299096,Web Developer,New York,Tech,109921
Bachelor's,6.835723894109552,ML Engineer,Seattle,Tech,43532
Master's,9.244312394025266,ML Engineer,San Francisco,Healthcare,78146
Master's,7.064930521102294,Software Engineer,New York,Finance,77571
High School,1.9612600680919732,Software Engineer,New York,Finance,56849
Master's,4.031531854267497,Data Scientist,Seattle,Finance,69443
High School,7.533822298373245,ML Engineer,Seattle,Education,62788
Master's,3.5846610687624385,Software Engineer,San Francisco,Tech,120045
Bachelor's,5.887638856292456,Web Developer,Seattle,Tech,103713
Master's,6.5492681068586736,Web Developer,Austin,Tech,110431
High School,3.1461390568438343,Software Engineer,Seattle,Education,99433
High School,4.8809492878764,Software Engineer,Austin,Tech,62418
Bachelor's,0.0,ML Engineer,San Francisco,Education,74509
Master's,2.9512247173314203,ML Engineer,San Francisco,Finance,94787
Master's,4.494863697213679,Data Scientist,San Francisco,Healthcare,60557
Bachelor's,2.504433636070301,ML Engineer,San Francisco,Tech,99259
Master's,8.26482260786327,Web Developer,San Francisco,Tech,80193
Master's,2.1397172440787346,Web Developer,Austin,Finance,77503
High School,4.119911026606032,Software Engineer,Austin,Healthcare,99219
Master's,5.2614811545721825,ML Engineer,San Francisco,Education,93885
Master's,7.8825465781322315,Data Scientist,Seattle,Healthcare,77780
Bachelor's,2.1282756976411212,Web Developer,New York,Finance,108186
Bachelor's,7.326327504309919,Web Developer,San Francisco,Finance,63378
PhD,5.020466122039174,Data Scientist,Seattle,Healthcare,97318
High School,3.036982697904098,Data Scientist,New York,Education,96862
Master's,5.924206948526542,Web Developer,San Francisco,Education,78809
